x,y,z,intensity,ring,time
0.6890739,3.2446258,-0.88878465,34.0,0,-0.09848595
0.76922995,3.615843,-0.8534643,41.0,1,-0.09848134
0.8769906,4.118851,-0.8185707,31.0,2,-0.09847673
1.0371379,4.86265,-0.7874912,34.0,3,-0.098472126
1.285748,6.0179677,-0.75559,37.0,4,-0.098467514
1.6340709,7.6352735,-0.6831267,35.0,5,-0.09846291
2.2422063,10.467863,-0.5610415,10.0,6,-0.0984583
13.934495,64.998566,15.347061,14.0,14,-0.098455995
3.849879,17.942831,-0.32032147,4.0,7,-0.09845369
0.70014423,3.238302,-0.8877493,38.0,0,-0.09843065
0.78349644,3.6207545,-0.85526395,37.0,1,-0.098426044
0.8933276,4.1213646,-0.81971544,30.0,2,-0.09842143
1.0557905,4.8626766,-0.78811693,39.0,3,-0.09841683
1.3286623,6.114315,-0.7682644,39.0,4,-0.098412216
1.6302043,7.4893527,-0.6705763,17.0,5,-0.09840761
2.2877886,10.492749,-0.5628209,22.0,6,-0.098403
3.8860595,17.808151,-0.31815737,4.0,7,-0.098398395
0.7048072,3.2056494,-0.8794672,38.0,0,-0.09837536
0.7946655,3.6083431,-0.8530144,43.0,1,-0.098370746
0.90559673,4.1086354,-0.81780744,31.0,2,-0.09836614
1.0676467,4.835815,-0.78436255,37.0,3,-0.09836153
1.3442097,6.0783906,-0.7643646,46.0,4,-0.098356925
1.6550438,7.477781,-0.6700533,32.0,5,-0.09835231
2.4320433,10.970227,-0.58888423,39.0,6,-0.09834771
14.60606,65.82939,15.5675125,15.0,14,-0.09834541
4.147445,18.692501,-0.33421358,8.0,7,-0.0983431
14.321261,64.49258,17.701672,48.0,15,-0.098340794
0.7159936,3.2031696,-0.8794672,34.0,0,-0.09832006
0.79811734,3.5676534,-0.8440163,44.0,1,-0.09831545
0.90963155,4.059471,-0.8086486,30.0,2,-0.09831084
1.085405,4.839958,-0.785614,39.0,3,-0.09830623
1.3508707,6.013859,-0.7568087,35.0,4,-0.09830163
1.6776395,7.4564075,-0.66865885,37.0,5,-0.09829702
2.3784626,10.562666,-0.5674265,24.0,6,-0.09829241
14.818268,65.75398,15.5612135,15.0,14,-0.09829011
4.1185207,18.260458,-0.32674393,12.0,7,-0.098287806
0.72704023,3.202661,-0.8799848,37.0,0,-0.09826476
0.8118631,3.5705462,-0.84536606,41.0,1,-0.09826016
0.92570305,4.067918,-0.81093824,31.0,2,-0.098255545
1.1031722,4.8399916,-0.7862397,40.0,3,-0.09825094
1.3351823,5.848477,-0.73657835,41.0,4,-0.09824633
15.456566,67.64972,10.990774,41.0,12,-0.09824403
1.6921116,7.4000063,-0.66412675,34.0,5,-0.098241724
2.3342266,10.199958,-0.5483762,42.0,6,-0.09823711
15.084264,65.86142,15.599006,15.0,14,-0.09823481
0.7392076,3.2018576,-0.88050246,40.0,0,-0.09820946
0.81817913,3.5411086,-0.83906746,37.0,1,-0.09820486
0.9118342,3.940172,-0.7861331,32.0,2,-0.098200254
1.1226873,4.8436136,-0.7874912,39.0,3,-0.09819564
1.3618709,5.8708525,-0.7399908,33.0,4,-0.09819104
1.7039493,7.3338947,-0.6587231,40.0,5,-0.098186426
2.370693,10.187444,-0.5481669,42.0,6,-0.09818182
4.007314,17.206837,-0.308384,15.0,7,-0.09817721
0.7481718,3.1898544,-0.87791425,35.0,0,-0.09815417
0.83115333,3.538086,-0.83906746,36.0,1,-0.09814956
0.9323193,3.965633,-0.79185736,28.0,2,-0.098144956
1.1355144,4.8223596,-0.78467536,37.0,3,-0.098140344
1.3705133,5.8158274,-0.73365355,39.0,4,-0.09813574
1.7231334,7.300754,-0.6562827,40.0,5,-0.09813113
2.4567788,10.392913,-0.55968076,40.0,6,-0.09812652
16.206293,68.557495,16.263962,17.0,14,-0.09812422
4.07012,17.20442,-0.30859345,11.0,7,-0.09812191
16.998894,71.79833,19.770151,58.0,15,-0.09811961
0.7551675,3.1723206,-0.87377316,37.0,0,-0.098098874
0.84288245,3.53531,-0.83906746,29.0,1,-0.09809427
0.9696151,4.0637302,-0.8120831,36.0,2,-0.09808966
1.1533375,4.826252,-0.7859268,37.0,3,-0.09808505
1.3994896,5.8517942,-0.73877203,45.0,4,-0.09808044
1.7491927,7.30275,-0.65698,40.0,5,-0.09807584
2.4856362,10.361403,-0.5584247,26.0,6,-0.098071225
16.365347,68.21913,16.196476,17.0,14,-0.09806892
4.1308885,17.206383,-0.30887267,23.0,7,-0.09806662
0.7634145,3.1604102,-0.87118495,32.0,0,-0.098043576
0.8500183,3.5135548,-0.83456844,32.0,1,-0.09803897
0.97938895,4.045228,-0.8090302,30.0,2,-0.09803436
1.1623522,4.7936053,-0.78123385,34.0,3,-0.098029755
1.4316207,5.8950987,-0.74486554,46.0,4,-0.09802514
1.7437553,7.174939,-0.64599836,32.0,5,-0.09802054
2.5242364,10.370569,-0.55936676,32.0,6,-0.098015934
16.423523,67.42317,16.021013,16.0,14,-0.098013625
4.172925,17.118034,-0.30754632,23.0,7,-0.09801132
0.77720356,3.1689835,-0.8742908,32.0,0,-0.097988285
0.8576286,3.491641,-0.83006936,26.0,1,-0.09798367
0.97991407,3.9864957,-0.79796326,28.0,2,-0.09797907
1.1634943,4.7262216,-0.7709092,36.0,3,-0.09797446
17.097198,69.39821,8.775812,44.0,11,-0.097972155
1.4507657,5.8842826,-0.7441343,48.0,4,-0.09796985
1.773084,7.1862187,-0.64756715,34.0,5,-0.09796524
2.3108017,9.351506,-0.5048327,2.0,6,-0.097960636
16.140425,65.26936,15.522523,15.0,14,-0.097958334
4.1697187,16.849073,-0.30297378,15.0,7,-0.097956024
16.73975,67.59156,18.658266,53.0,15,-0.09795372
0.7887266,3.1681259,-0.8748084,37.0,0,-0.09793299
0.8599121,3.4489183,-0.8206215,33.0,1,-0.097928375
0.9740682,3.9009721,-0.7815537,32.0,2,-0.09792377
1.1914794,4.7681255,-0.778418,36.0,3,-0.097919166
1.4650308,5.854149,-0.74096566,46.0,4,-0.097914554
1.7688978,7.057916,-0.63658553,30.0,5,-0.09790995
2.3207479,9.246116,-0.4995991,2.0,6,-0.09790534
4.196847,16.708351,-0.300705,19.0,7,-0.09790073
0.79701895,3.1521034,-0.87118495,32.0,0,-0.09787769
0.87446,3.4533,-0.8224211,33.0,1,-0.097873084
1.0028365,3.9544663,-0.7930022,30.0,2,-0.09786847
1.2094324,4.7656417,-0.77873087,36.0,3,-0.09786387
1.4810973,5.8275766,-0.7382845,45.0,4,-0.097859256
1.7755866,6.9760838,-0.6297874,34.0,5,-0.09785465
2.3768182,9.324639,-0.50430936,40.0,6,-0.09785004
13.154442,51.606987,12.295374,23.0,14,-0.09784774
4.2798014,16.778114,-0.3022408,23.0,7,-0.097845435
14.215601,55.688755,15.400251,36.0,15,-0.09784313
0.80424345,3.13232,-0.8665262,31.0,0,-0.0978224
0.8822574,3.4311984,-0.81792206,33.0,1,-0.097817786
1.0190812,3.960448,-0.7949104,30.0,2,-0.09781318
1.2244256,4.7516127,-0.77716655,36.0,3,-0.09780857
1.4816046,5.745483,-0.728535,45.0,4,-0.097803965
1.8397797,7.1241713,-0.6437323,35.0,5,-0.09779935
2.6293879,10.1670885,-0.550365,36.0,6,-0.09779475
13.32964,51.541893,12.290876,31.0,14,-0.09779244
4.229116,16.341043,-0.2946315,11.0,7,-0.09779014
17.458393,67.409515,18.658266,53.0,15,-0.097787835
0.8170588,3.138984,-0.8691144,28.0,0,-0.0977671
0.8965811,3.439568,-0.8206215,33.0,1,-0.09776249
1.0322081,3.957047,-0.7949104,27.0,2,-0.09775788
1.2306911,4.711212,-0.771222,34.0,3,-0.09775327
18.066515,69.11116,8.770937,44.0,11,-0.09775097
1.5051664,5.757823,-0.7307286,46.0,4,-0.09774867
1.8543139,7.0833373,-0.6405947,35.0,5,-0.097744055
15.516909,59.23121,11.901902,41.0,13,-0.09774175
2.5977504,9.909089,-0.5368623,29.0,6,-0.09773945
13.5395155,51.646324,12.326418,7.0,14,-0.09773715
4.1853504,15.95362,-0.2878949,15.0,7,-0.097734846
0.81760776,3.0988984,-0.8587616,32.0,0,-0.0977118
0.90399903,3.4215035,-0.81702226,33.0,1,-0.0977072
1.0598788,4.008645,-0.8059772,30.0,2,-0.097702585
1.2493398,4.718563,-0.77309924,31.0,3,-0.09769798
18.34646,69.24275,8.795312,44.0,11,-0.09769567
1.5186435,5.7275896,-0.72756004,45.0,4,-0.09769337
17.847033,67.26312,11.02206,42.0,12,-0.09769107
1.8542871,6.988565,-0.63257635,34.0,5,-0.097688764
2.5952094,9.76723,-0.52963996,44.0,6,-0.09768415
15.283059,57.478428,13.731012,10.0,14,-0.09768185
4.191141,15.751463,-0.28450912,22.0,7,-0.09767955
0.8314139,3.1072233,-0.8618674,35.0,0,-0.0976565
0.9224946,3.4427972,-0.82287097,32.0,1,-0.0976519
1.0672525,3.9802701,-0.8010163,30.0,2,-0.097647294
18.759665,69.91441,6.3330846,48.0,10,-0.097644985
1.2576082,4.683648,-0.76809335,30.0,3,-0.09764268
18.603489,69.23581,8.802624,45.0,11,-0.09764038
1.5345026,5.7069182,-0.72561014,56.0,4,-0.09763808
1.835187,6.8204365,-0.61793417,32.0,5,-0.097633466
2.5830393,9.586477,-0.5203241,54.0,6,-0.09762886
4.2320385,15.68461,-0.2835667,26.0,7,-0.09762425
0.83011526,3.0595553,-0.8494441,37.0,0,-0.09760121
0.94114804,3.4640038,-0.8287197,31.0,1,-0.0975966
1.07599,3.957575,-0.79719996,30.0,2,-0.097591996
18.963863,69.702385,6.319837,48.0,10,-0.097589694
1.2547483,4.608708,-0.7565172,31.0,3,-0.097587384
18.90035,69.373474,8.82846,45.0,11,-0.09758508
1.5486721,5.680459,-0.722929,46.0,4,-0.09758278
1.874714,6.8716536,-0.6231636,35.0,5,-0.09757817
2.5917506,9.486849,-0.5154045,42.0,6,-0.09757356
14.684469,53.714184,12.855952,17.0,14,-0.09757126
4.2360954,15.484579,-0.28021586,26.0,7,-0.09756895
0.8418156,3.060364,-0.8504794,37.0,0,-0.097545914
11.058602,40.175457,0.7273465,5.0,8,-0.09754361
0.94805986,3.4419096,-0.82422066,29.0,1,-0.09754131
1.078322,3.912156,-0.7888045,26.0,2,-0.0975367
19.191114,69.578156,6.3146076,48.0,10,-0.097534396
1.2729317,4.6119165,-0.75776863,33.0,3,-0.09753209
1.5304118,5.5372577,-0.7053798,43.0,4,-0.09752748
1.8912556,6.8381834,-0.6207232,35.0,5,-0.09752288
14.535926,52.52164,10.592953,34.0,13,-0.09752057
2.5598085,9.242919,-0.5026345,40.0,6,-0.097518265
14.198924,51.234406,12.274229,7.0,14,-0.09751596
4.2559233,15.346369,-0.27798194,18.0,7,-0.09751366
15.220254,54.845413,15.251172,35.0,15,-0.09751135
0.8488604,3.044381,-0.84685594,32.0,0,-0.097490616
10.961245,39.285263,0.7119186,5.0,8,-0.097488314
0.9543049,3.4179323,-0.81927174,32.0,1,-0.09748601
19.534256,69.91678,3.80451,37.0,9,-0.09748371
1.0792917,3.8629882,-0.77964556,31.0,2,-0.0974814
1.2725251,4.5484724,-0.7480697,22.0,3,-0.097476795
1.5663332,5.5911384,-0.71293575,45.0,4,-0.09747218
19.424326,69.28983,11.397503,47.0,12,-0.09746988
1.903284,6.789334,-0.61688834,37.0,5,-0.09746758
2.5823433,9.199314,-0.5007505,33.0,6,-0.09746297
14.700217,52.332714,12.549569,8.0,14,-0.097460665
4.3024287,15.306396,-0.27752817,26.0,7,-0.09745836
15.405346,54.76963,15.244961,35.0,15,-0.09745606
0.8647365,3.0599895,-0.8520323,32.0,0,-0.097435325
10.13954,35.85625,0.6504163,4.0,8,-0.097433016
0.96834993,3.4220815,-0.8210713,28.0,1,-0.09743071
19.75971,69.78283,3.8009517,37.0,9,-0.09742841
1.1243286,3.9706469,-0.80216104,30.0,2,-0.09742611
1.2803086,4.5154963,-0.7433767,26.0,3,-0.0974215
1.5961432,5.621919,-0.7175668,45.0,4,-0.09741689
1.9209772,6.7615676,-0.6149709,40.0,5,-0.09741228
14.993508,52.73991,10.657827,34.0,13,-0.09740998
2.4882007,8.746484,-0.4765713,38.0,6,-0.09740768
14.534361,51.05719,12.255783,15.0,14,-0.097405374
4.337757,15.227817,-0.2763763,26.0,7,-0.097403064
0.8743483,3.0532382,-0.85099703,26.0,0,-0.09738003
10.3087015,35.974426,0.6532087,4.0,8,-0.097377725
0.9706216,3.3849616,-0.8129731,28.0,1,-0.097375415
20.011913,69.78987,3.804929,37.0,9,-0.09737311
