x,y,z,intensity,ring,time
1.7080894,2.116858,-0.7288345,41.0,0,-0.09166241
5.6796618,7.0363684,0.15783957,63.0,8,-0.091660105
1.8976115,2.3500588,-0.6973483,53.0,1,-0.0916578
8.69665,10.77019,0.7254811,31.0,9,-0.09165549
2.0441601,2.5306425,-0.632341,41.0,2,-0.09165319
16.64964,20.604673,2.3176455,27.0,10,-0.09165089
2.2960956,2.8405094,-0.5784947,46.0,3,-0.091648586
2.6442194,3.268837,-0.5162386,43.0,4,-0.091643974
31.313206,38.71001,7.8858624,12.0,12,-0.09164167
3.026744,3.74039,-0.42096224,45.0,5,-0.09163937
3.5847242,4.426766,-0.29852432,36.0,6,-0.09163476
33.251907,41.048077,12.195947,7.0,14,-0.091632456
4.1865015,5.16806,-0.11609341,25.0,7,-0.09163015
32.19122,39.724487,13.700328,24.0,15,-0.09162784
1.6996299,2.0913928,-0.7221052,37.0,0,-0.09160711
5.694138,7.0066304,0.15759523,65.0,8,-0.09160481
1.8980192,2.33468,-0.69464886,44.0,1,-0.091602504
8.70269,10.701028,0.7228643,32.0,9,-0.0916002
2.0628936,2.5356746,-0.635394,41.0,2,-0.09159789
16.596952,20.393446,2.3003886,22.0,10,-0.09159559
2.2331836,2.7440166,-0.56034833,31.0,3,-0.09159329
31.52785,38.725925,6.131491,11.0,11,-0.091590986
2.602396,3.1954033,-0.5060016,26.0,4,-0.091588676
31.091286,38.16248,7.7963815,12.0,12,-0.091586374
3.0020216,3.683468,-0.41573292,35.0,5,-0.09158407
31.912992,39.157112,9.819032,30.0,13,-0.09158177
3.5993853,4.414853,-0.29852432,36.0,6,-0.09157946
33.285625,40.81223,12.158605,22.0,14,-0.09157716
4.2449694,5.2029953,-0.117210366,25.0,7,-0.091574855
1.7065544,2.085746,-0.7221052,32.0,0,-0.09155182
5.651428,6.9047008,0.15574528,72.0,8,-0.09154951
1.8543063,2.2647126,-0.675753,44.0,1,-0.091547206
8.699496,10.621139,0.71951485,30.0,9,-0.091544904
2.0824864,2.5424893,-0.6388285,37.0,2,-0.0915426
15.650497,19.100775,2.1604166,4.0,10,-0.09154029
2.2552714,2.7514815,-0.56347704,31.0,3,-0.09153799
33.1833,40.46996,6.425927,12.0,11,-0.09153569
2.5795412,3.1448612,-0.49942058,32.0,4,-0.091533385
31.266922,38.10563,7.807019,12.0,12,-0.091531076
3.0432887,3.7089176,-0.41974208,38.0,5,-0.09152877
31.177565,37.98321,9.551899,29.0,13,-0.09152647
3.5894217,4.3713927,-0.2964309,40.0,6,-0.09152417
34.57576,42.09322,12.576114,16.0,14,-0.09152187
4.256759,5.1804194,-0.117035836,25.0,7,-0.09151956
28.282158,34.4068,11.934146,15.0,15,-0.091517255
1.7175109,2.0842485,-0.7236581,42.0,0,-0.09149652
5.6716814,6.8803005,0.15564056,65.0,8,-0.09149422
1.8919543,2.2943108,-0.6865506,40.0,1,-0.09149191
8.652633,10.489022,0.71260643,30.0,9,-0.091489606
2.0801044,2.521575,-0.635394,39.0,2,-0.0914873
15.680306,19.001457,2.1553614,21.0,10,-0.091485
